State,Internet,EUS,Rural,Urban,Hospitals,internet_norm,eus_norm,hospital_norm,accessibility_raw,accessibility_norm,base_score,sd_penalty,Development_Score,Rank,Category
delhi,99.7,4.5,82,86,484,1,0.20895522388059704,0.7866449511400652,0.5119047619047619,0.14102564102564058,0.3901957356261256,0.4246835397167152,0.36896155864028984,1,Highly Developed
maharashtra,37.67,2.6,77,89,507,0.27092148566055485,0.11442786069651743,0.8241042345276873,0.536144578313253,0.42817423540315125,0.32340332144025374,0.30469489425525587,0.30816857672749093,2,Highly Developed
karnataka,36.07,2.4,69,86,271,0.2521156558533146,0.10447761194029852,0.43973941368078173,0.5548387096774193,0.6496277915632753,0.2945240476907738,0.2360539997839194,0.2827213477015778,3,Highly Developed
haryana,27.15,2.7,71,83,615,0.14727315467795016,0.11940298507462689,1,0.538961038961039,0.46153846153846184,0.3001488391547463,0.40917916995856113,0.27968988065681827,4,Highly Developed
punjab,44,1.6,71,83,364,0.345322049835449,0.0646766169154229,0.5912052117263844,0.538961038961039,0.46153846153846184,0.27940195415400715,0.224401387704596,0.26818188476877736,5,Highly Developed
tamil nadu,39.27,2.1,74,87,263,0.28972731546779507,0.08955223880597016,0.42671009771986973,0.5403726708074534,0.4782608695652178,0.26975277114603685,0.173639124936048,0.26107081489923445,6,Highly Developed
andhra pradesh,29.19,2.4,60,80,235,0.17125058768218152,0.10447761194029852,0.3811074918566775,0.5714285714285714,0.846153846153846,0.2756055962152279,0.33502099403366087,0.25885454651354484,7,Highly Developed
kerala,41.38,9.2,93,95,219,0.31452750352609316,0.4427860696517413,0.3550488599348534,0.5053191489361702,0.06301145662847835,0.236259921160772,0.16293275237364566,0.2281132835420897,8,Highly Developed
telangana,29.43,2.7,72,86,177,0.17407146215326752,0.11940298507462689,0.28664495114006516,0.5443037974683544,0.5248296007789682,0.2364701598579281,0.17976031446517904,0.22748214413466916,9,Highly Developed
arunachal pradesh,29.43,6.4,60,83,40,0.17407146215326752,0.3034825870646767,0.06351791530944625,0.5804195804195804,0.9526627218934914,0.2377793801269397,0.39841038870499546,0.21785886069168992,10,Highly Developed
west bengal,24.38,6.1,72,85,90,0.1147155618241655,0.2885572139303483,0.1449511400651466,0.5414012738853503,0.4904458598726115,0.22025041998048292,0.17152664960494346,0.21167408750023575,11,Moderately Developed
rajasthan,24.26,1.4,61,80,340,0.1133051245886225,0.05472636815920398,0.5521172638436482,0.5673758865248227,0.7981451172940542,0.2286334881194856,0.3565567070630302,0.2108056527663341,12,Moderately Developed
gujarat,34.02,0.9,72,86,313,0.22802068641278803,0.029850746268656723,0.50814332247557,0.5443037974683544,0.5248296007789682,0.20641131304490265,0.23802693034075742,0.19450996652786479,13,Moderately Developed
